COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	0.037651	0.004403	0.000233	0.000872	0.000235	0.000853	0.000024	0.003071	0.013722	0.001719	-0.000102	0.001362	0.000041	0.001094	0.008732	0.002684	0.010093	0.007208	0.002341	0.001651	0.002486	0.002326	0.000546	0.000179	0.000088	0	0	0.000216	0.000272	0.00043	0.000126	0.001107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001356	0
CHE	0.001742	0.015523	0.000073	0.00013	0.000038	0.001303	-0.000019	0.000137	0.00275	0.001525	0.000053	0.000118	0.000009	-0.001256	0.000394	0.000337	0.000796	0.000919	0.000776	0.000132	0.000337	0.000171	0.000065	0.000013	0.000009	0	0	0.00003	0.000039	0.000052	0.000015	0.000107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000317	0
BLX	0.004791	0.005345	0.038023	0.001311	0.00093	0.010285	0.004815	0.001276	0.003209	0.010873	0.002037	0.000862	0.000695	0.000335	0.003083	0.003011	0.003246	0.00366	0.002295	0.000772	0.001003	0.001089	0.000289	0.000105	0.000047	0	0	0.000181	0.000203	0.000495	0.000089	0.001078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002406	0
ESP	0.014521	0.024192	0.011059	0.319032	0.00082	0.048111	0.007752	0.019499	0.043395	0.01291	0.001987	0.009137	0.000641	0.010683	0.012225	0.006078	0.021632	0.008877	0.009258	0.014624	0.155846	0.021662	0.007162	0.007446	0.001663	0.000008	0	0.00188	0.003519	0.002063	0.000754	0.004132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006786	0
FIN	0.000016	0.000066	-0.00018	0.000094	0.012385	-0.000009	0.000065	0.000187	0.000186	-0.000975	0.00064	0.000204	0.000386	0.000309	0.000306	0.001008	0.00026	-0.000716	0.000367	0.000168	0.000026	0.00023	0.000068	0.000006	0.000005	0	0	0.000178	0.000133	0.000908	0.000124	0.000784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000043	0
FRA	0.012569	0.036924	0.024998	0.016956	0.001063	0.073202	0.008402	0.005666	0.022724	0.020861	0.002598	0.002649	0.000833	0.003193	0.008077	0.006351	0.008838	0.010104	0.004457	0.002934	0.014895	0.004027	0.001259	0.000725	0.000225	0.000001	0	0.000541	0.000774	0.001129	0.000265	0.002499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004974	0
GBR	0.01349	0.016877	0.051743	0.010731	0.007895	0.032056	0.143099	0.00523	0.011368	0.028487	0.026794	0.002996	0.012876	0.004648	0.01075	0.014971	0.009069	0.014806	0.007066	0.003024	0.008918	0.004219	0.001103	0.000579	0.00017	0.000001	0	0.000849	0.000776	0.002737	0.000528	0.006461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004653	0
GRC	0.00132	0.000223	-0.000012	0.000271	0.000177	0.000195	0.000006	0.128253	0.003273	0.000095	0.000071	0.024786	0.000017	0.030059	0.00248	0.000445	0.024721	0.00089	0.007661	0.057024	0.003652	0.0636	0.009297	0.004202	0.001626	0.000007	0	0.000641	0.001486	0.001127	0.000224	0.002386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001887	0
ITA	0.035487	0.037162	0.001859	0.005792	0.000412	0.010778	0.000479	0.022275	0.203264	0.005615	0	0.007373	0.000131	0.013173	0.018191	0.004316	0.034627	0.008919	0.008973	0.011023	0.029105	0.016937	0.003754	0.003189	0.000907	0.000005	0	0.000821	0.001506	0.000928	0.000391	0.003611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003907	0
RFA	0.033408	0.04119	0.027754	0.002736	0.003848	0.015747	0.005381	0.007832	0.017875	0.075026	0.01069	0.004241	0.002317	0.007771	0.018855	0.019197	0.015473	0.034367	0.009393	0.00394	0.003548	0.00546	0.001361	0.000472	0.000221	0.000001	0	0.00082	0.000922	0.002214	0.000426	0.006359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007301	0
