COUNTRY,AUT,CHE,BLX,ESP,FIN,FRA,GBR,GRC,ITA,RFA,SWE,TUR,NOR,BGR,HUN,POL,RCEU,RCZ,ROM,MEME,NOA,EGY,GOLF,WAF,EAF,SAF,RSA,KAZ,RIS,RUS,RUE,UKR,COR,JPN,AUS,NZL,PAC,MON,CHN,TWN,RSAS,NDE,IDN,THA,MYS,PHL,VNM,RSEA,CAN,USA,BRA,MEX,RCAM,CHL,ARG,RSAM,Ship,Air,Ocean,EUR
SWE,1.47E-02,8.50E-03,2.06E-02,2.22E-03,8.42E-02,9.18E-03,1.12E-02,1.01E-02,8.07E-03,2.35E-02,4.12E-02,8.19E-03,4.73E-02,1.28E-02,2.04E-02,5.17E-02,1.22E-02,2.50E-02,1.46E-02,2.92E-03,1.82E-03,3.01E-03,1.38E-03,1.50E-05,2.14E-05,-6.30E-06,-6.50E-06,7.97E-03,4.01E-03,2.01E-02,7.54E-03,2.19E-02,1.66E-03,8.87E-04,-1.40E-06,-3.50E-06,-1.01E-05,2.23E-03,9.46E-04,-2.20E-04,1.55E-04,-4.13E-05,-4.30E-06,-1.20E-05,-7.80E-06,-4.94E-05,-2.14E-05,-1.49E-05,1.18E-03,6.61E-04,-6.00E-06,-7.06E-05,-8.21E-05,-4.70E-06,-2.30E-06,-2.51E-05,0.00E+00,0.00E+00,5.50E-03,0.00E+00
TUR,4.16E-03,4.30E-03,5.01E-03,4.48E-03,1.03E-02,4.94E-03,6.22E-03,3.12E-01,-2.67E-04,4.47E-03,6.52E-03,1.19E+00,7.72E-03,9.74E-02,8.46E-03,9.27E-03,1.49E-02,5.93E-03,5.45E-02,6.08E-01,4.70E-03,3.31E-01,1.36E-01,3.88E-03,3.56E-03,7.91E-05,1.91E-05,3.00E-02,5.99E-02,7.81E-02,1.60E-02,3.58E-02,1.02E-02,1.60E-02,2.55E-05,2.06E-05,1.59E-04,1.22E-02,1.08E-02,1.32E-02,1.58E-02,6.62E-03,5.79E-05,1.31E-03,3.44E-04,3.43E-03,2.59E-03,1.52E-03,7.45E-03,5.92E-03,5.11E-05,2.21E-03,2.47E-03,8.90E-06,1.42E-05,2.05E-04,0.00E+00,0.00E+00,3.15E-02,0.00E+00
NOR,1.79E-02,1.61E-02,3.69E-02,5.21E-03,8.45E-02,1.83E-02,3.81E-02,1.18E-02,1.40E-02,3.54E-02,1.28E-01,9.18E-03,3.06E-01,1.44E-02,1.88E-02,4.07E-02,1.40E-02,2.40E-02,1.57E-02,4.55E-03,4.56E-03,4.46E-03,1.84E-03,3.24E-05,2.16E-05,-1.96E-05,-1.98E-05,1.40E-02,6.68E-03,2.75E-02,1.45E-02,2.34E-02,2.52E-03,1.99E-03,-8.40E-06,-7.90E-06,-1.53E-05,3.47E-03,1.52E-03,1.53E-04,2.78E-04,-1.41E-05,-7.90E-06,-1.36E-05,-1.11E-05,-6.00E-06,-5.90E-06,-1.28E-05,2.58E-03,1.25E-03,-1.39E-05,-2.47E-05,-1.47E-05,-1.04E-05,-9.50E-06,-1.26E-05,0.00E+00,0.00E+00,6.85E-03,0.00E+00
BGR,4.91E-03,1.39E-03,1.15E-03,8.48E-04,1.61E-03,1.32E-03,8.45E-04,1.60E-01,3.85E-03,1.43E-03,1.71E-03,6.75E-02,8.01E-04,4.18E-01,1.60E-02,5.69E-03,5.32E-02,7.12E-03,6.40E-02,2.23E-02,2.55E-03,3.45E-02,3.99E-03,1.55E-03,7.18E-04,9.40E-06,4.20E-06,3.14E-03,3.74E-03,4.51E-03,1.88E-03,1.76E-02,1.13E-03,1.42E-03,3.70E-06,3.20E-06,6.40E-06,1.32E-03,9.84E-04,6.46E-04,8.36E-04,3.27E-04,5.20E-06,5.21E-05,2.83E-05,1.78E-04,1.14E-04,7.19E-05,6.79E-04,5.47E-04,7.20E-06,1.30E-04,1.48E-04,2.30E-06,2.70E-06,1.69E-05,0.00E+00,0.00E+00,5.21E-03,0.00E+00
HUN,4.10E-02,3.05E-03,1.98E-03,1.85E-03,2.52E-03,2.11E-03,6.91E-04,2.31E-02,1.89E-02,3.63E-03,2.41E-03,1.19E-02,2.45E-04,3.73E-02,1.91E-01,1.76E-02,7.86E-02,4.29E-02,5.02E-02,6.33E-03,5.33E-03,7.28E-03,3.12E-03,4.28E-04,1.91E-04,5.90E-06,2.80E-06,3.99E-03,3.71E-03,5.70E-03,2.12E-03,1.43E-02,9.85E-04,1.03E-03,5.00E-07,1.00E-06,2.80E-06,1.26E-03,8.48E-04,1.97E-04,5.32E-04,1.27E-04,-4.00E-07,1.85E-05,1.50E-06,4.25E-05,3.59E-05,1.85E-05,5.16E-04,4.40E-04,-9.00E-07,3.82E-05,1.68E-05,1.90E-06,-1.00E-06,-3.60E-06,0.00E+00,0.00E+00,6.81E-03,0.00E+00
POL,1.64E-02,3.17E-02,5.45E-02,-6.76E-03,4.95E-02,1.91E-02,-8.81E-03,5.01E-02,-6.17E-03,5.09E-02,6.65E-02,4.06E-02,2.87E-02,6.87E-02,8.07E-02,8.60E-02,7.12E-02,1.93E-02,1.09E-01,2.09E-02,-1.03E-02,2.02E-02,8.65E-03,6.00E-04,2.41E-04,-1.85E-05,-1.44E-05,2.02E-02,1.48E-02,4.53E-02,1.31E-02,1.22E-01,5.22E-03,4.13E-03,-5.90E-06,-4.70E-06,-1.72E-05,6.68E-03,3.57E-03,-2.29E-04,1.12E-03,3.81E-05,-1.04E-05,-3.79E-05,-2.43E-05,-1.01E-04,-4.24E-05,-2.83E-05,2.46E-03,1.90E-03,-8.90E-06,-6.87E-05,-1.81E-04,-7.70E-06,-7.60E-06,-5.71E-05,0.00E+00,0.00E+00,1.37E-02,0.00E+00
RCEU,7.68E-02,5.75E-03,3.65E-03,3.56E-03,4.08E-03,4.48E-03,2.08E-03,1.77E-01,7.94E-02,6.06E-03,5.03E-03,3.65E-02,1.99E-03,1.49E-01,1.14E-01,2.17E-02,5.56E-01,3.87E-02,7.02E-02,2.28E-02,1.50E-02,2.44E-02,8.95E-03,2.05E-03,7.78E-04,2.90E-06,-4.40E-06,8.08E-03,9.56E-03,1.16E-02,4.83E-03,2.22E-02,2.44E-03,3.36E-03,2.30E-06,0.00E+00,1.86E-05,3.01E-03,2.25E-03,1.90E-03,2.26E-03,8.54E-04,-9.00E-07,1.86E-04,4.02E-05,5.07E-04,3.69E-04,1.97E-04,1.65E-03,1.24E-03,2.60E-06,3.06E-04,3.61E-04,9.00E-07,1.60E-06,3.46E-05,0.00E+00,0.00E+00,1.43E-02,0.00E+00
RCZ,5.39E-02,1.07E-02,9.87E-03,3.30E-03,4.57E-03,6.25E-03,1.85E-03,2.76E-02,2.69E-02,7.82E-03,5.21E-03,1.55E-02,-5.80E-04,3.89E-02,1.28E-01,1.37E-02,5.70E-02,-1.44E-02,4.23E-02,5.93E-03,4.05E-03,6.95E-03,4.49E-03,1.14E-03,3.95E-04,1.01E-05,2.40E-06,6.67E-03,6.24E-03,9.51E-03,3.57E-03,2.32E-02,1.83E-03,1.72E-03,3.20E-06,3.60E-06,-1.40E-06,2.32E-03,1.43E-03,1.34E-04,8.14E-04,1.45E-04,4.00E-07,5.50E-06,1.49E-05,1.79E-05,1.82E-05,1.89E-05,8.91E-04,7.60E-04,5.70E-06,2.34E-05,-3.69E-05,3.60E-06,1.30E-06,-8.90E-06,0.00E+00,0.00E+00,7.16E-03,0.00E+00
ROM,1.51E-02,2.99E-03,4.08E-03,1.87E-03,6.56E-03,3.00E-03,2.27E-03,8.41E-02,1.13E-02,5.49E-03,5.84E-03,7.24E-02,2.39E-03,2.74E-01,1.03E-01,2.80E-02,9.31E-02,3.43E-02,4.60E-01,6.03E-02,6.09E-03,6.93E-02,9.41E-03,-1.11E-03,-1.13E-04,-8.90E-06,-8.00E-06,9.79E-03,9.29E-03,1.61E-02,6.05E-03,8.26E-02,2.73E-03,3.10E-03,-6.70E-06,-4.10E-06,-2.90E-06,3.36E-03,2.28E-03,8.89E-04,1.34E-03,2.45E-04,-3.10E-06,5.62E-05,6.40E-06,1.93E-04,1.35E-04,2.09E-05,1.46E-03,1.19E-03,-8.20E-06,1.59E-04,1.67E-04,-6.50E-06,-6.40E-06,-9.40E-06,0.00E+00,0.00E+00,1.51E-02,0.00E+00
MEME,8.28E-04,1.05E-03,1.26E-03,1.33E-03,1.93E-03,1.35E-03,1.69E-03,3.78E-03,8.06E-04,1.12E-03,1.30E-03,3.89E-02,2.34E-03,2.03E-03,1.14E-03,1.46E-03,1.17E-03,1.03E-03,2.11E-03,8.22E-01,1.11E-03,2.71E-02,9.13E-02,1.83E-03,2.72E-03,1.07E-04,5.23E-05,6.60E-03,1.35E-02,7.81E-03,3.47E-03,4.26E-03,1.64E-03,3.71E-03,3.89E-05,3.26E-05,1.42E-04,2.02E-03,2.55E-03,5.22E-03,7.75E-03,4.61E-03,5.99E-05,6.22E-04,2.27E-04,1.73E-03,1.17E-03,9.70E-04,2.06E-03,1.59E-03,8.23E-05,1.13E-03,1.38E-03,3.02E-05,2.82E-05,1.55E-04,0.00E+00,0.00E+00,8.34E-03,0.00E+00
NOA,1.82E-02,1.69E-02,5.94E-03,6.47E-02,5.41E-03,1.26E-02,4.85E-03,4.92E-02,4.69E-02,8.93E-03,4.14E-03,4.31E-02,6.59E-03,3.51E-02,2.17E-02,9.30E-03,4.15E-02,1.32E-02,2.55E-02,6.35E-02,8.39E-01,8.61E-02,3.14E-02,3.75E-02,7.02E-03,1.52E-04,4.54E-05,1.53E-02,2.51E-02,1.26E-02,9.51E-03,1.34E-02,3.99E-03,1.07E-02,4.09E-05,2.43E-05,1.94E-04,4.95E-03,5.55E-03,1.30E-02,1.15E-02,6.94E-03,6.22E-05,1.71E-03,4.31E-04,4.62E-03,3.26E-03,2.00E-03,5.08E-03,3.47E-03,1.14E-04,2.16E-03,3.52E-03,2.32E-05,3.05E-05,1.15E-03,0.00E+00,0.00E+00,2.08E-02,0.00E+00
EGY,7.26E-04,8.94E-04,8.83E-04,1.08E-03,1.14E-03,1.02E-03,1.25E-03,5.05E-03,7.73E-04,8.56E-04,8.43E-04,1.22E-02,1.82E-03,3.48E-03,1.07E-03,9.72E-04,1.96E-03,8.38E-04,2.61E-03,4.63E-02,2.37E-03,1.03E+00,3.51E-02,2.40E-02,2.39E-02,2.20E-04,1.02E-04,4.15E-03,8.93E-03,3.90E-03,2.31E-03,1.63E-03,9.13E-04,2.57E-03,7.08E-05,5.89E-05,2.00E-04,1.19E-03,1.84E-03,4.43E-03,6.07E-03,4.58E-03,9.26E-05,6.81E-04,2.18E-04,1.85E-03,1.13E-03,1.12E-03,1.62E-03,1.25E-03,1.75E-04,1.09E-03,1.21E-03,5.26E-05,4.51E-05,2.17E-04,0.00E+00,0.00E+00,3.73E-03,0.00E+00
GOLF,8.07E-03,8.73E-03,9.10E-03,1.08E-02,9.59E-03,1.02E-02,1.26E-02,1.12E-02,6.69E-03,8.87E-03,8.89E-03,8.09E-02,1.71E-02,9.20E-03,8.19E-03,7.88E-03,9.48E-03,8.10E-03,8.76E-03,8.82E-02,1.07E-02,2.39E-02,1.67E+00,8.02E-03,8.00E-02,2.41E-03,1.26E-03,6.82E-02,2.23E-01,5.41E-02,2.49E-02,1.07E-02,1.12E-02,2.51E-02,9.09E-04,8.37E-04,2.48E-03,1.43E-02,2.28E-02,4.11E-02,2.20E-01,1.29E-01,1.13E-03,8.28E-03,2.68E-03,1.90E-02,1.35E-02,1.80E-02,1.61E-02,1.41E-02,1.76E-03,1.32E-02,1.44E-02,7.72E-04,6.33E-04,2.15E-03,0.00E+00,0.00E+00,7.27E-02,0.00E+00
