COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	ARCTIC_LAND	ARCTIC_SEA
AUT	-0.00142	-0.000562	-0.000077	-0.000254	-0.000108	-0.000169	-0.0000654	-0.000615	-0.00204	-0.000146	-0.0000104	-0.000363	-0.000067	-0.0000286	-0.000669	-0.00029	-0.00105	-0.000414	-0.000445	-0.000437	-0.000673	-0.000587	-0.000241	-0.0000699	-0.0000332	-0.0000084	-0.0000056	-0.000124	-0.000162	-0.000151	-0.0000889	-0.000247	-0.0000614	-0.0000628	-0.0000013	-0.0000014	-0.0000027	-0.0000623	-0.0000437	-0.0000335	-0.0000776	-0.0000577	-0.0000018	-0.0000118	-0.0000035	-0.000007	-0.0000103	-0.000018	-0.0000271	-0.0000216	-0.0000001	-0.0000108	-0.000033	-0.0000005	-0.0000009	-0.0000071	0	0	0	0.000804	0.000777
CHE	-0.000198	-0.00076	-0.0000109	-0.0000647	-0.0000181	-0.00011	-0.0000151	-0.0000332	-0.000243	-0.0000957	-0.0000258	-0.0000391	-0.0000152	0.00024	-0.0000547	-0.0000518	-0.000223	-0.0000938	-0.000106	-0.0000319	-0.000124	-0.0000466	-0.0000273	-0.0000063	-0.0000012	-0.0000003	-0.000001	-0.0000157	-0.0000239	-0.0000191	-0.0000129	-0.0000327	-0.0000105	-0.0000141	0.0000002	0.0000008	0.0000001	-0.0000105	-0.0000071	-0.0000081	-0.0000144	-0.0000093	0.0000007	-0.0000018	-0.0000024	-0.0000019	-0.0000022	-0.0000035	-0.0000089	-0.0000028	0.0000018	-0.0000018	-0.0000068	0.0000002	0.0000003	-0.000002	0	0	0	0.00036	0.000366
BLX	-0.000438	-0.000405	-0.00035	-0.000371	-0.000188	-0.000324	-0.000181	-0.000327	-0.000861	-0.000345	-0.000186	-0.000264	-0.000142	-0.000016	-0.000284	-0.000257	-0.000638	-0.000157	-0.000306	-0.000271	-0.000424	-0.000361	-0.000141	-0.0000409	-0.0000202	-0.0000021	-0.0000023	-0.000103	-0.000123	-0.000149	-0.0000806	-0.000205	-0.0000498	-0.0000488	-0.0000007	-0.0000011	-0.0000004	-0.0000497	-0.0000334	-0.0000215	-0.0000464	-0.0000285	-0.000001	-0.0000066	-0.000001	-0.0000039	-0.0000072	-0.0000112	-0.0000203	-0.0000115	0.0000002	-0.0000059	-0.0000207	0.0000002	0.0000003	-0.000004	0	0	0	0.0025	0.00268
ESP	-0.00528	-0.00677	-0.00287	-0.0294	-0.00158	-0.00791	-0.00251	-0.00788	-0.0122	-0.00346	-0.00193	-0.00461	-0.00174	-0.00472	-0.00405	-0.00277	-0.0075	-0.00328	-0.00426	-0.0056	-0.032	-0.00752	-0.00399	-0.00286	-0.000807	-0.0000318	-0.0000157	-0.00189	-0.00272	-0.00203	-0.00136	-0.00273	-0.00143	-0.00168	-0.0000101	-0.0000097	-0.0000197	-0.00131	-0.00101	-0.00102	-0.00161	-0.00127	-0.0000194	-0.000263	-0.0000776	-0.000266	-0.000284	-0.000407	-0.000791	-0.000639	-0.0000349	-0.000361	-0.000994	-0.0000072	-0.0000046	-0.000277	0	0	0	0.00172	0.0018
FIN	-0.0000395	-0.00004	-0.0000347	-0.0000249	-0.00072	-0.0000051	-0.0000572	-0.000119	-0.0000496	0.0000031	-0.000171	-0.000115	-0.000143	-0.000146	-0.000125	-0.000266	-0.000115	0.0000431	-0.00017	-0.0000648	-0.0000127	-0.000085	-0.0000388	-0.0000035	-0.0000022	0.0000016	0.0000007	-0.000114	-0.0000946	-0.000243	-0.0000904	-0.00027	-0.0000242	-0.0000212	0.0000003	0.0000011	-0.0000007	-0.0000265	-0.000015	-0.000006	-0.0000142	-0.0000062	-0.0000002	-0.0000009	-0.0000025	-0.0000011	-0.0000016	-0.0000017	-0.000009	-0.0000029	0.0000022	0.0000001	-0.0000009	0.0000006	0.0000006	0	0	0	0	0.000733	0.000656
FRA	-0.00207	-0.00327	-0.00161	-0.00368	-0.000572	-0.00515	-0.000869	-0.0021	-0.00552	-0.00171	-0.00067	-0.0012	-0.000546	-0.00114	-0.00146	-0.00111	-0.00247	-0.0013	-0.00124	-0.00122	-0.00542	-0.00159	-0.000703	-0.000323	-0.00011	-0.0000086	-0.0000046	-0.00048	-0.000609	-0.000614	-0.000364	-0.000876	-0.000287	-0.000304	-0.0000026	-0.0000024	-0.000004	-0.000284	-0.00019	-0.000153	-0.000262	-0.000179	-0.0000038	-0.000042	-0.0000109	-0.0000375	-0.0000455	-0.0000618	-0.000152	-0.000112	-0.0000022	-0.0000514	-0.000127	-0.0000031	-0.0000007	-0.0000295	0	0	0	0.00744	0.00771
GBR	-0.00269	-0.00274	-0.00414	-0.00289	-0.00239	-0.00346	-0.0048	-0.00222	-0.00404	-0.00326	-0.00405	-0.00139	-0.003	-0.00155	-0.00214	-0.00265	-0.00265	-0.00237	-0.00184	-0.0013	-0.00379	-0.00169	-0.000654	-0.000252	-0.0000836	-0.0000079	-0.0000037	-0.000865	-0.000725	-0.00137	-0.000768	-0.00175	-0.000426	-0.00042	-0.0000011	-0.0000014	-0.0000033	-0.000452	-0.000244	-0.000164	-0.000208	-0.000133	-0.0000033	-0.0000382	-0.0000102	-0.0000347	-0.0000432	-0.0000494	-0.000256	-0.000161	-0.0000027	-0.0000457	-0.0000933	0.0000001	0	-0.000024	0	0	0	0.00756	0.00919
GRC	-0.000358	-0.000269	-0.000169	-0.00028	-0.000256	-0.000221	-0.000199	-0.00645	-0.000697	-0.00019	-0.00025	-0.00286	-0.000235	-0.0016	-0.000426	-0.0003	-0.00126	-0.000311	-0.000755	-0.00631	-0.000814	-0.00755	-0.00308	-0.00134	-0.000607	-0.0000258	-0.0000138	-0.000484	-0.000894	-0.000498	-0.000298	-0.00054	-0.000343	-0.000399	-0.0000069	-0.0000067	-0.0000118	-0.000302	-0.000271	-0.00029	-0.000804	-0.000756	-0.0000129	-0.000146	-0.0000343	-0.00011	-0.000127	-0.000219	-0.000167	-0.000151	-0.000024	-0.000107	-0.000265	-0.0000057	-0.0000039	-0.0000653	0	0	0	0.000381	0.000391
ITA	-0.0038	-0.0026	-0.000549	-0.00178	-0.000488	-0.00179	-0.000478	-0.00511	-0.0182	-0.000813	-0.000403	-0.00228	-0.00045	-0.00267	-0.00259	-0.00102	-0.00544	-0.00139	-0.00217	-0.00291	-0.00602	-0.00402	-0.0018	-0.00136	-0.0004	-0.000024	-0.0000121	-0.000723	-0.00108	-0.000773	-0.000502	-0.00121	-0.000508	-0.00057	-0.0000061	-0.000006	-0.0000074	-0.000471	-0.000369	-0.000363	-0.000699	-0.000592	-0.0000116	-0.000125	-0.0000463	-0.000117	-0.000126	-0.000181	-0.000251	-0.000209	-0.000014	-0.000133	-0.000353	-0.0000054	-0.0000033	-0.0000825	0	0	0	0.00455	0.00456
RFA	-0.0026	-0.00239	-0.000249	-0.000794	-0.000735	-0.00101	-0.000394	-0.00187	-0.0037	-0.0024	-0.00109	-0.00115	-0.000576	-0.00121	-0.00173	-0.00136	-0.00246	-0.00195	-0.00139	-0.00114	-0.00136	-0.00151	-0.000613	-0.000175	-0.0000846	-0.0000098	-0.0000052	-0.00043	-0.0005	-0.000606	-0.000328	-0.00104	-0.000196	-0.000186	-0.0000021	-0.000002	-0.0000027	-0.000206	-0.000127	-0.000073	-0.000183	-0.000126	-0.000003	-0.0000376	-0.0000063	-0.0000188	-0.0000306	-0.0000493	-0.0000944	-0.0000634	-0.0000024	-0.0000299	-0.0000793	-0.0000005	-0.0000007	-0.0000181	0	0	0	0.00646	0.00654
