COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	0	0.009372	0	0.001129	0	0.002121	0	0.007965	0.02941	0	0	0.00368	0	0.003362	0.004413	0	0.006743	0.00162	0.002824	0	0.004189	0.007932	0.001683	0.0001015	0.0000357	0.000009322	0.000001491	0.0004239	0.001647	0.001462	0.0001433	0.002107	0.000726	0.0007128	0.000000198	0	0.000002282	0.0004055	0.0001233	0.0004749	0.0002167	0.00005313	0.000005983	0.000007703	0.000007604	0.00004128	0.00003039	0.00001495	0.0004362	0.0003517	0.000006563	0.0001553	0.0000611	2.967E-07	4.748E-07	0.0000012	0	0	0.000603	0
CHE	0	0.01921	0	0.000612	0	0.003234	0	0.00215	0.0107	0	0	0.001171	0	0.000924	0.0007625	0	0.001424	0.0006036	0.0006319	0	0.001419	0.00136	0.0006185	0.00004065	0.00001463	0.000004043	6.037E-07	0.0001984	0.0007122	0.0006655	0.00006142	0.000606	0.0003336	0.0003258	5.047E-08	0	0.000001044	0.0001852	0.00005476	0.0002093	0.00009762	0.00002455	0.000002666	0.000003122	0.000003216	0.00001685	0.00001225	0.00000631	0.000196	0.0001582	0.000003443	0.00006945	0.00002742	0.00000018	2.946E-07	6.239E-07	0	0	0.0003348	0
BLX	0	0.01349	0	0.007613	0	0.01649	0	0.01404	0.02013	0	0	0.007851	0	0.007939	0.008976	0	0.01116	0.007411	0.0061	0	0.008212	0.01369	0.003279	0.0002101	0.00006782	0.00001788	0.000002705	0.001314	0.004521	0.005089	0.000314	0.005796	0.001852	0.001816	4.662E-07	0	0.000005448	0.0009687	0.0002657	0.001048	0.0004555	0.0001083	0.00001528	0.00001706	0.00001681	0.00007724	0.00006083	0.00003282	0.001221	0.000875	0.0000129	0.000387	0.0001517	5.255E-07	8.058E-07	0.000002409	0	0	0.001451	0
ESP	0	0.01353	0	0.07291	0	0.02299	0	0.008318	0.01702	0	0	0.004602	0	0.003402	0.003145	0	0.005086	0.003221	0.002751	0	0.01814	0.008461	0.003814	0.0005204	0.0001346	0.00002425	0.000003795	0.0006442	0.003599	0.002606	0.0002792	0.00216	0.001837	0.001925	7.152E-07	0	0.000008701	0.000956	0.0002729	0.001644	0.0006023	0.0001978	0.00002151	0.00002869	0.00002679	0.0001706	0.0001272	0.00006389	0.0009333	0.0008549	0.00002181	0.0005376	0.0002608	9.302E-07	0.000001392	0.000004555	0	0	0.002896	0
FIN	0	0.0005155	0	0.0003063	0	0.0003517	0	0.001366	0.000599	0	0	0.001312	0	0.000845	0.0004422	0	0.0005627	0.0004944	0.0006115	0	0.0004496	0.001852	0.000442	0.00002624	0.000008527	0.00000204	5.704E-07	0.0002144	0.001109	0.001329	0.00007265	0.001241	0.0003773	0.0003657	9.878E-08	0	0.000001423	0.0002127	0.00005251	0.000271	0.0000844	0.00001587	0.000002324	0.000003412	0.000002981	0.00001583	0.00001364	0.000006	0.0002678	0.0001697	0.000001743	0.0000671	0.00002939	6.813E-08	1.209E-07	3.274E-07	0	0	0.0001183	0
FRA	0	0.09095	0	0.03403	0	0.1694	0	0.0407	0.1121	0	0	0.0224	0	0.01876	0.0179	0	0.02884	0.0181	0.014	0	0.03088	0.03547	0.01136	0.0009621	0.0003087	0.00006532	0.000009697	0.003365	0.01406	0.01306	0.001108	0.01368	0.006648	0.006601	0.000001733	0	0.00001982	0.003503	0.0009893	0.004442	0.001788	0.0004644	0.00005633	0.00007033	0.00006933	0.0003784	0.0002832	0.0001392	0.003969	0.003095	0.00004422	0.001422	0.0006027	0.000001979	0.000002738	0.000008858	0	0	0.01755	0
GBR	0	0.03605	0	0.0227	0	0.03567	0	0.02903	0.04038	0	0	0.01837	0	0.01772	0.01776	0	0.0198	0.01673	0.01311	0	0.02006	0.03019	0.007235	0.000578	0.0001847	0.00004402	0.000006493	0.003085	0.01124	0.01206	0.0008289	0.0158	0.005034	0.004854	0.000001136	0	0.00001352	0.002578	0.0006725	0.002791	0.001114	0.0002801	0.00004026	0.00004852	0.0000467	0.0002169	0.0001747	0.0000901	0.003603	0.002391	0.00002625	0.001012	0.0004123	0.000001169	0.000001629	0.000005607	0	0	0.00365	0
GRC	0	0.001431	0	0.0004264	0	0.0004355	0	0.05103	0.001357	0	0	0.01198	0	0.001821	0.0001966	0	0.00127	0.0001515	0.0007095	0	0.007725	0.04773	0.003105	0.000204	0.00007863	0.000001508	6.223E-07	0.0002449	0.000829	0.0008551	0.00006919	0.001017	0.0003967	0.0005179	7.33E-08	0	0.000001721	0.0002096	0.00008549	0.0005144	0.0001839	0.00006515	0.000004256	0.000009682	0.000009588	0.00007552	0.00004797	0.00001991	0.0002019	0.0002089	0.000004679	0.0001381	0.00006895	3.037E-07	3.752E-07	0.000001114	0	0	0.0003368	0
ITA	0	0.2862	0	0.007147	0	0.02645	0	0.06997	0.3723	0	0	0.01884	0	0.01502	0.00983	0	0.05349	0.007914	0.0105	0	0.04309	0.04451	0.01034	0.001035	0.0003036	0.00005319	0.000008099	0.002527	0.009729	0.00757	0.0008511	0.008402	0.004513	0.00485	0.000001358	0	0.00001581	0.002475	0.0008252	0.004075	0.001505	0.0004255	0.00004098	0.00006465	0.00006236	0.0004193	0.0002939	0.0001291	0.002527	0.002232	0.00003325	0.001067	0.0004948	0.000001694	0.000002137	0.000006733	0	0	0.008401	0
RFA	0	0.06179	0	0.01307	0	0.03639	0	0.04316	0.06529	0	0	0.02379	0	0.02394	0.02866	0	0.03491	0.02128	0.01873	0	0.02217	0.04352	0.01037	0.0006185	0.0002152	0.00004739	0.000007008	0.003647	0.01303	0.013	0.0009548	0.01633	0.005154	0.005004	0.000001349	0	0.00001567	0.002795	0.0007803	0.002866	0.001349	0.0003092	0.00004021	0.00004638	0.00004602	0.000223	0.0001726	0.00008992	0.003375	0.00248	0.00003357	0.001056	0.0004048	0.000001534	0.000002148	0.000006394	0	0	0.003635	0
SWE	0	0.005786	0	0.001685	0	0.003514	0	0.008392	0.006098	0	0	0.005998	0	0.004224	0.003333	0	0.004533	0.002947	0.00303	0	0.003726	0.009385	0.002328	0.0001554	0.00005242	0.00001078	0.000001827	0.0008156	0.003546	0.003803	0.0002641	0.004124	0.001286	0.001321	2.629E-07	0	0.000003469	0.0007108	0.0002036	0.001002	0.0003213	0.00006948	0.000009248	0.00001408	0.00001257	0.00007092	0.00005743	0.00002545	0.0009761	0.0006619	0.00000795	0.0002709	0.0001229	3.952E-07	5.759E-07	0.000001674	0	0	0.0006126	0
TUR	0	0.002016	0	0.002392	0	0.002011	0	0.0528	0.002459	0	0	0.04446	0	0.0118	0.0007892	0	0.002339	0.0009046	0.005715	0	0.007157	0.1822	0.06447	0.0007314	0.0004508	0.00006689	0.00001011	0.00152	0.00668	0.00624	0.0005461	0.008512	0.004078	0.004216	0.000001767	0	0.0000211	0.002056	0.0006205	0.003689	0.001584	0.0004684	0.00004578	0.00006217	0.00006364	0.0003727	0.0002621	0.0001229	0.001754	0.001657	0.00004107	0.0009497	0.0003989	0.000001955	0.000002568	0.000006963	0	0	0.001813	0
NOR	0	0.01461	0	0.006277	0	0.009737	0	0.01816	0.01573	0	0	0.01319	0	0.007283	0.003326	0	0.006556	0.003042	0.004207	0	0.01089	0.01992	0.006238	0.0005807	0.0001822	0.00003295	0.000004801	0.002069	0.008852	0.009065	0.000912	0.009181	0.004394	0.005187	8.214E-07	0	0.000009525	0.002472	0.0007263	0.005661	0.0009744	0.0002501	0.00003456	0.00006711	0.00005767	0.0003792	0.0003053	0.0001136	0.003273	0.002308	0.0000214	0.0009751	0.0005772	0.000001007	0.000001421	0.000005362	0	0	0.001985	0
BGR	0	0.001004	0	0.0003545	0	0.000435	0	0.01872	0.0008735	0	0	0.0102	0	0.01284	0.0007649	0	0.002596	0.0005425	0.004958	0	0.002788	0.01864	0.001638	0.0001004	0.0000422	0.000002602	0.000000567	0.0003325	0.0009739	0.001002	0.00007245	0.002717	0.0003993	0.0004328	9.029E-08	0	0.000001406	0.0002117	0.00007405	0.0003243	0.0001348	0.00003531	0.000003384	0.000005298	0.000005075	0.00003223	0.00002297	0.00001021	0.0002179	0.0001971	0.000004854	0.00009966	0.00004026	2.905E-07	4.254E-07	0.00000103	0	0	0.0002435	0
HUN	0	0.003248	0	0.0009054	0	0.0009521	0	0.01225	0.005108	0	0	0.005537	0	0.006673	0.01907	0	0.01611	0.008092	0.007818	0	0.00364	0.009913	0.002182	0.00008292	0.00001018	0.000009427	0.00000141	0.0006028	0.002207	0.002344	0.0001511	0.003926	0.0008288	0.0007839	0.000000221	0	0.000002861	0.0004586	0.0001402	0.0004852	0.0002526	0.00005612	0.000006918	0.000008739	0.000008632	0.00004105	0.00003144	0.00001604	0.0005053	0.0004078	0.000006841	0.0001767	0.00006664	3.372E-07	5.046E-07	0.000001274	0	0	0.0006731	0
POL	0	0.01225	0	0.00293	0	0.004487	0	0.02642	0.01118	0	0	0.01849	0	0.01757	0.02113	0	0.01766	0.02668	0.0146	0	0.005888	0.02433	0.00584	0.0002874	0.0001311	0.00002642	0.000003949	0.001951	0.009034	0.01009	0.000597	0.01426	0.003075	0.003042	6.024E-07	0	0.000007046	0.001703	0.0004849	0.002105	0.0008151	0.0001527	0.00001964	0.00002672	0.00002472	0.0001335	0.0001075	0.00004899	0.001998	0.001466	0.00001493	0.0005487	0.0002319	6.878E-07	9.392E-07	0.000002894	0	0	0.001391	0
RCEU	0	0.008611	0	0.002682	0	0.002916	0	0.05965	0.0215	0	0	0.0176	0	0.015	0.0119	0	0.03901	0.005972	0.01184	0	0.01841	0.04675	0.00813	0.0005507	0.0001858	0.00004746	0.000007064	0.001635	0.005844	0.005164	0.000488	0.007823	0.002382	0.002472	0.0000012	0	0.0000133	0.001326	0.0004553	0.001804	0.0008852	0.0002417	0.00002991	0.0000353	0.00003551	0.0001789	0.0001336	0.00006665	0.001558	0.001348	0.00002831	0.0006798	0.0002623	0.000001528	0.000001857	0.000005193	0	0	0.003143	0
RCZ	0	0.009492	0	0.00172	0	0.002887	0	0.01571	0.01176	0	0	0.008116	0	0.008961	0.0188	0	0.01604	0.01155	0.008566	0	0.004778	0.01239	0.002852	0.0001374	0.00005582	0.00001231	0.000001977	0.0009267	0.003421	0.003488	0.0002372	0.005501	0.001233	0.001171	0.000000281	0	0.000003832	0.0006877	0.0001991	0.0007088	0.000347	0.00007303	0.000008825	0.00001073	0.00001076	0.00005503	0.00004232	0.00002047	0.0007632	0.0005906	0.000007747	0.0002412	0.0000928	3.526E-07	5.147E-07	0.000001505	0	0	0.0008145	0
ROM	0	0.002667	0	0.001189	0	0.001341	0	0.02471	0.002863	0	0	0.01736	0	0.03204	0.007958	0	0.01096	0.005889	0.0322	0	0.004972	0.04277	0.005204	0.00016	0.0000551	0.00001555	0.000002492	0.001069	0.003932	0.004175	0.0002659	0.009453	0.001447	0.001375	4.235E-07	0	0.000004981	0.0008026	0.0002451	0.0008136	0.0004588	0.00009832	0.00001184	0.00001471	0.00001508	0.00006967	0.0000534	0.00002647	0.0008572	0.0007022	0.0000102	0.0003062	0.000117	4.735E-07	0.000000646	0.000001828	0	0	0.0007817	0
MEME	0	0.0005559	0	0.0008212	0	0.0006108	0	0.0009973	0.000599	0	0	0.002301	0	0.000499	0.0001711	0	0.0003014	0.0001613	0.0003685	0	0.0007258	0.004563	0.04218	0.0002618	0.0002253	0.00004939	0.00000755	0.0002521	0.00162	0.001235	0.000149	0.0006906	0.001051	0.001212	0.000001202	0	0.00001357	0.0005159	0.0001888	0.001323	0.0007784	0.0002793	0.00002252	0.0000235	0.0000274	0.0001255	0.00009006	0.00006079	0.0004747	0.0004994	0.00002323	0.00038	0.0001502	0.000001143	0.000001453	0.000003694	0	0	0.0004384	0
NOA	0	0.01088	0	0.02397	0	0.01258	0	0.01765	0.01638	0	0	0.008151	0	0.006359	0.003559	0	0.007407	0.003008	0.004192	0	0.03469	0.02027	0.01075	0.003372	0.0008221	0.0001505	0.00002486	0.001078	0.005654	0.003685	0.0005305	0.003214	0.002612	0.003215	0.000004016	0	0.00003894	0.001449	0.0005642	0.003685	0.001328	0.0005709	0.0001004	0.00007957	0.00008266	0.0004538	0.0003228	0.0001767	0.001706	0.001768	0.00007747	0.001268	0.0005375	0.000004511	0.000004645	0.00001482	0	0	0.003491	0
EGY	0	0.0004371	0	0.0006733	0	0.0004683	0	0.0005044	0.0004559	0	0	0.003886	0	0.0002023	0.0001306	0	0.0001958	0.0001178	0.0001742	0	0.0006737	0.07924	0.005894	0.001319	0.001402	0.00009517	0.00001354	0.0001918	0.001219	0.0008983	0.0001357	0.000237	0.0004928	0.0009315	0.00000204	0	0.0000215	0.0002879	0.000203	0.002202	0.0005149	0.0003046	0.00003131	0.00003617	0.00003562	0.000254	0.0001471	0.00009865	0.0003484	0.0004566	0.00003976	0.0004629	0.0002338	0.000002235	0.000002555	0.000006741	0	0	0.0008717	0
