CNTRY,BC,POM,Other PM2.5
AUT,1.899777283,1.297491039,1.899777283
CHE,1.718027735,1.17588141,1.718027735
BLX,1.836814621,1.537801609,1.836814621
ESP,2.457602339,1.560643564,2.457602339
FIN,1.975,1.444522472,1.975
FRA,2.121634169,1.359676695,2.121634169
GBR,1.824731183,1.509905254,1.824731183
GRC,2.358695652,1.711956522,2.358695652
ITA,1.995283019,1.491509434,1.995283019
RFA,1.726940639,1.426584235,1.726940639
SWE,1.781163435,1.299264105,1.781163435
TUR,1.341726619,1.196040868,1.341726619
NOR,1.639130435,1.169584245,1.639130435
BGR,1.382165605,1.118253487,1.382165605
HUN,1.557244174,1.232036353,1.557244174
POL,1.606026786,1.327567949,1.606026786
RCEU,1.112727273,1.040801457,1.112727273
RCZ,1.489677952,1.220611916,1.489677952
ROM,1.301178992,1.152903907,1.301178992
MEME,2.019271949,1.712695796,2.019271949
NOA,1.335863378,1.551347882,1.335863378
EGY,2.336410256,1.878038558,2.336410256
GOLF,2.034285714,1.592431762,2.034285714
WAF,1.196754564,1.149131563,1.196754564
EAF,1.06119403,1.039324922,1.06119403
SAF,1.07310705,1.030157121,1.07310705
RSA,1.996007984,1.725438306,1.996007984
KAZ,1.941666667,1.494124231,1.941666667
RIS,2.28125,2.076394503,2.28125
RUS,2.429435484,1.833333333,2.429435484
RUE,1.749185668,1.179182372,1.749185668
UKR,2.069672131,1.760852713,2.069672131
COR,1.903010925,1.881088394,1.903010925
JPN,1.456191875,1.648322654,1.456191875
AUS,2.435114504,1.535465925,2.435114504
NZL,1.979591837,1.498154982,1.979591837
PAC,0.869565217,0.98997996,0.869565217
MON,1.192421551,1.295714998,1.192421551
CHN,0.953053435,1.14305949,0.953053435
TWN,2.125254582,2.229125249,2.125254582
RSAS,1.913137894,1.719522739,1.913137894
NDE,1.997975709,1.748188726,1.997975709
IDN,1.125405405,1.087615473,1.125405405
THA,0.994232156,1.049375,0.994232156
MYS,1.718983558,1.644560487,1.718983558
PHL,1.075949367,1.172188317,1.075949367
VNM,0.86343852,1.093440821,0.86343852
RSEA,0.913322632,1.027080063,0.913322632
CAN,2.050788091,1.768924303,2.050788091
USA,1.998920086,1.654160475,1.998920086
BRA,1.690104167,1.498129209,1.690104167
MEX,1.930894309,1.626666667,1.930894309
RCAM,1.567164179,1.302288871,1.567164179
CHL,2.146903821,1.930520118,2.146903821
ARG,1.633333333,1.405416013,1.633333333
RSAM,1.89010989,1.514813635,1.89010989
