COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	0.01717	0.004344	0.001436	0.003095	0	0.001539	0	0.02206	0.06666	0.007607	0	0.009064	0	0.0136	0.04387	0.006554	0.06994	0.01184	0.00952	0.006362	0.01282	0.01317	0.002994	0.00005231	0.00001481	-0.000001387	0.0000001	0.0008878	0.002264	0.002229	0.0001481	0.004296	0.0005281	0.0006077	2.157E-07	8.643E-08	0.000000187	0.0003918	0.0003905	0.0002992	0.000564	0.00003214	8.475E-07	7.54E-08	0.00000104	0.00002516	0.00001517	0.000001228	0.0002308	0.0002488	-5.89E-09	0.00003982	0.000007128	-1.595E-09	-4.763E-09	-5.71E-08	0	0	0.001514	0
CHE	0.01124	-0.003411	0.001411	0.001832	0	0.008265	0	0.003857	0.02788	0.01546	0	0.001676	0	0.0022	0.003143	0.001979	0.003839	0.003265	0.001422	0.002505	0.003646	0.002357	0.001175	0.00001818	0.00000546	0.000000845	0.000000394	0.0003695	0.0009622	0.0008975	0.00006497	0.0009324	0.0002561	0.0002936	-7.54E-08	-1.925E-08	-5.739E-08	0.0001874	0.0001781	0.000172	0.0002538	0.00001354	-1.211E-07	2.105E-08	1.27E-08	0.0000087	0.000007333	6.056E-07	0.0001132	0.0001148	9.8E-09	0.00001886	0.000004124	-3.851E-09	-3.31E-09	0.000000069	0	0	0.0004106	0
BLX	0.008514	0.01719	-0.1649	0.004881	0	0.01123	0	0.00999	0.01563	-0.0004933	0	0.005769	0	0.005133	0.007761	0.005942	0.009684	0.005369	0.00456	0.004843	0.006231	0.009017	0.002307	0.0000776	0.00001257	0.000005898	0.000001573	0.001279	0.002925	0.003184	0.0001136	0.003623	0.000748	0.0007156	1.133E-07	1.857E-07	0.000000164	0.0004599	0.0003609	-0.0003549	0.0005233	0.00001984	-0.000001206	-0.000001087	-0.000006176	-0.00003034	-0.000003371	-3.856E-07	0.0004756	0.0003929	3.429E-07	0.00001821	-0.00002566	-9.856E-09	3.63E-08	8.347E-07	0	0	0.000751	0
ESP	0.02604	0.05802	0.01176	0.8849	0	0.1269	0	0.0351	0.08101	0.03135	0	0.02027	0	0.0146	0.01764	0.01547	0.02153	0.01938	0.01225	0.02439	0.1091	0.03267	0.01223	0.0006756	0.00009433	0.00002329	-0.000000381	0.003107	0.01058	0.005606	0.0006867	0.007409	0.002511	0.002945	0.000001431	2.193E-07	0.000003066	0.001737	0.001997	0.008287	0.003226	0.0003507	0.000001937	0.00000685	0.00005061	0.0006618	0.0003382	0.00003093	0.001016	0.001158	4.682E-07	0.000466	0.0003001	7.8E-10	4.93E-08	0.000008716	0	0	0.008384	0
FIN	0.003825	0.002194	0.001505	0.001808	0	0.002885	0	0.01024	0.003341	0.001524	0	0.009583	0	0.007683	0.004748	0.0119	0.004697	0.007356	0.006652	0.004742	0.001705	0.005281	0.002225	0.000001229	3.063E-07	-0.00001693	-0.000001834	0.005717	0.01008	0.01277	0.0004784	0.007996	0.002204	0.001975	-5.295E-07	-2.902E-07	-0.000001273	0.001357	0.000749	-0.001225	0.0008927	0.000003668	-0.000002115	-0.000001881	-0.00001274	-0.00007739	-0.00003904	-0.000002466	0.001875	0.001057	-2.715E-07	-0.00001165	-0.00005092	-1.773E-08	-5.994E-08	-0.000002563	0	0	0.001053	0
FRA	0.06372	0.2826	0.08472	0.111	0	0.425	0	0.04019	0.1758	0.1067	0	0.02061	0	0.022	0.03311	0.02705	0.0403	0.03582	0.01799	0.01982	0.05696	0.02447	0.009449	0.000256	0.00004907	-0.00000051	-0.000001231	0.003639	0.009724	0.00764	0.0006272	0.01194	0.002469	0.002864	2.841E-07	1.352E-07	0.00000107	0.001737	0.001744	0.002356	0.002337	0.0001364	-0.000000915	1.659E-07	0.000003995	0.0001366	0.0001021	0.00000679	0.00123	0.001192	-5.04E-08	0.0002089	0.00003847	-9.771E-09	-2.898E-08	-0.000000259	0	0	0.01143	0
GBR	0.02547	0.03718	0.01538	0.04287	0	0.05554	0	0.02035	0.03843	0.02698	0	0.01163	0	0.01139	0.01971	0.01483	0.01684	0.0198	0.01134	0.009196	0.01935	0.01112	0.003874	0.00007137	0.000009063	-0.00002441	-0.000002567	0.003293	0.006755	0.009652	0.0004186	0.009825	0.001642	0.001637	-0.000001082	-3.076E-07	-0.000002143	0.001031	0.0006954	-0.001542	0.0009329	0.00003343	-0.000006519	-0.000004942	-0.00003026	-0.0001305	-0.00003763	-0.000003452	0.001341	0.0009225	-0.000001163	0.000002437	-0.00009798	-3.475E-08	-2.883E-07	-0.000007492	0	0	0.002737	0
GRC	0.001025	0.001396	0.00014	0.0006424	0	0.0002541	0	0.3263	0.005889	0.0002398	0	0.05046	0	0.01158	0.0005684	0.0005591	0.00386	0.0005488	0.004166	0.05865	0.0207	0.1101	0.008329	0.0001534	0.00006692	0.00001957	0.000000863	0.0004357	0.001567	0.0009051	0.0001411	0.002005	0.0003954	0.0005978	0.000000872	2.152E-07	0.000001474	0.0002941	0.0003786	0.002202	0.0006943	0.0001265	0.000001433	0.000004431	0.00003607	0.0003044	0.0001185	0.000009797	0.000156	0.0001951	8.913E-07	0.0001094	0.00007443	1.137E-08	1.563E-07	0.000005513	0	0	0.001418	0
ITA	0.1034	0.1063	0.004029	0.01555	0	0.01536	0	0.08607	0.4923	0.05336	0	0.03761	0	0.0376	0.03363	0.01578	0.09244	0.02827	0.02466	0.0289	0.1196	0.06045	0.01345	0.0003568	0.0001067	0.00002884	0.000000831	0.002979	0.00949	0.005138	0.0006455	0.01108	0.002199	0.002888	0.000001174	2.485E-07	0.000002469	0.001736	0.00193	0.005925	0.00317	0.0003266	0.000003089	0.00001146	0.00009096	0.0008364	0.000322	0.00002693	0.001015	0.001202	3.493E-07	0.0003662	0.000207	2.99E-08	8.457E-08	0.00000436	0	0	0.01729	0
RFA	0.1257	0.06915	-0.09875	0.01268	0	0.03281	0	0.05348	0.09834	0.02403	0	0.03039	0	0.03446	0.06165	0.04606	0.06676	0.06173	0.02964	0.02245	0.02595	0.04292	0.009483	0.0002624	0.00005513	0.000008418	-0.000001411	0.005122	0.01144	0.01091	0.0006084	0.01907	0.002698	0.002802	4.952E-07	2.035E-07	0.000001164	0.001784	0.001554	-0.0003553	0.002135	0.0000959	-7.675E-07	-0.000002334	-0.00001373	-0.00005258	0.00002025	0.000001137	0.001591	0.001411	3.344E-07	0.0001173	-0.00004632	-2.997E-09	1.888E-08	3.272E-07	0	0	0.003039	0
