COUNTRY,AUT,CHE,BLX,ESP,FIN,FRA,GBR,GRC,ITA,RFA,SWE,TUR,NOR,BGR,HUN,POL,RCEU,RCZ,ROM,MEME,NOA,EGY,GOLF,WAF,EAF,SAF,RSA,KAZ,RIS,RUS,RUE,UKR,COR,JPN,AUS,NZL,PAC,MON,CHN,TWN,RSAS,NDE,IDN,THA,MYS,PHL,VNM,RSEA,CAN,USA,BRA,MEX,RCAM,CHL,ARG,RSAM,Ship,Air,Ocean
AUT,-0.571424,-0.044152,-0.00055,0.000245,-0.000712,-0.000426,-0.000189,0.009368,-0.009899,-0.017965,-0.002728,0.005319,-0.00097,0.005933,-0.033612,-0.007173,-0.018676,-0.048755,0.001993,0.005615,0.004362,0.007056,0.00201,0.000272,0.000154,0.000003,0.000001,0.001749,0.002359,0.000872,0.00082,-0.000406,0.000614,0.000759,0,0,0.000001,0.000666,0.000665,0.000391,0.000567,0.000266,0,0.000072,0.000005,0.000045,0.000076,0.000086,0.000342,0.000302,-0.000002,0.000088,0.000123,0,0,0.000021,0,0,-0.012311
CHE,-0.006355,-0.4871,-0.000925,0.000077,0.000302,-0.015148,0.000127,0.001915,-0.017741,-0.013556,-0.000598,0.00128,-0.000143,0.001372,0.001622,0.000331,0.002408,0.000326,0.001183,0.001459,0.00171,0.001596,0.000765,0.000079,0.000051,-0.000002,-0.000001,0.00086,0.001085,0.000493,0.000491,0.00082,0.000369,0.000444,0,-0.000001,0,0.000403,0.000346,0.000208,0.000275,0.00012,-0.000002,0.000033,0.000002,0.000022,0.000039,0.000039,0.000213,0.000168,-0.000005,0.000046,0.000063,0,-0.000001,0.000009,0,0,-0.004646
BLX,-0.017707,-0.014717,-1.221375,-0.004096,-0.00998,-0.111195,-0.066319,0.001875,-0.000815,-0.163249,-0.038517,0.001586,-0.016743,-0.003093,-0.010318,-0.022207,-0.003976,-0.024951,-0.00432,0.002719,0.001501,0.003612,0.001261,0.000327,0.000118,-0.000001,0,0.000174,0.002065,-0.004564,-0.001557,-0.005498,-0.000991,-0.000737,0,0,-0.000006,-0.001125,0.000095,0.000032,0.000443,0.000167,-0.000005,0.000045,-0.000015,-0.00004,0.000031,0.000059,-0.000416,-0.000154,-0.000002,0.000014,0.000096,-0.000001,-0.000001,0.00002,0,0,-0.049418
ESP,0.035969,0.057489,0.019981,-0.269067,0.009294,0.053326,0.016754,0.045996,0.068702,0.027441,0.012656,0.027851,0.010718,0.030955,0.026536,0.018965,0.045411,0.024983,0.025527,0.029563,0.17973,0.037016,0.012554,0.007894,0.00165,-0.000017,-0.000022,0.012592,0.016211,0.012397,0.009044,0.016641,0.008731,0.010711,-0.000014,-0.000013,0.000019,0.008226,0.00656,0.006253,0.005397,0.002996,0,0.000706,0.000208,0.001158,0.001064,0.000953,0.005441,0.004212,0.000011,0.001612,0.003663,-0.000015,-0.000012,0.000999,0,0,0.013128
FIN,-0.005023,-0.002186,-0.001232,-0.000784,-1.055255,-0.001122,-0.000539,0.001983,-0.001163,-0.003189,-0.027053,0.001228,-0.001003,-0.000254,-0.002226,-0.023685,-0.000961,-0.004588,-0.00216,0.000899,-0.00047,0.001252,0.000834,-0.000122,-0.000027,-0.000014,-0.000009,0.004748,0.005095,-0.011467,0.000899,-0.011585,-0.001205,-0.000978,-0.000006,-0.000006,-0.000018,-0.001391,0.000036,-0.000389,0.00024,-0.000032,-0.000016,-0.000045,-0.000048,-0.000151,-0.000088,-0.000034,0.000302,-0.000031,-0.000011,-0.000117,-0.000137,-0.000005,-0.000005,-0.000039,0,0,-0.001268
FRA,0.0254,-0.033015,-0.127418,0.036062,-0.001154,-0.620374,-0.021685,0.030628,0.068078,-0.026898,-0.009883,0.018034,-0.003557,0.015317,0.017849,0.007698,0.028215,0.015188,0.013821,0.019794,0.0618,0.023144,0.007744,0.00201,0.000672,-0.000013,-0.000014,0.008099,0.011292,0.005396,0.004106,0.006975,0.002878,0.004057,-0.000007,-0.000006,-0.000005,0.002954,0.003307,0.002358,0.002765,0.001231,-0.000013,0.000307,0.00003,0.000291,0.000414,0.000376,0.002068,0.001734,-0.000011,0.000566,0.000941,-0.000009,-0.000006,0.000142,0,0,-0.013529
GBR,-0.010377,-0.012944,-0.211706,0.013971,-0.008023,-0.083891,-1.512331,0.005885,0.006285,-0.056007,-0.041621,0.004269,-0.024227,-0.003941,-0.004553,-0.017108,-0.003449,-0.012033,-0.003013,0.006386,0.015542,0.006539,0.00242,0.000568,0.000107,-0.000016,-0.000015,0.001449,0.004622,-0.00339,-0.001524,-0.010113,-0.003688,-0.002927,-0.000011,-0.000011,-0.000034,-0.00379,-0.00032,-0.000275,0.000703,0.000206,-0.00003,0.000036,-0.000074,-0.000202,-0.000006,0.000048,-0.000853,-0.000554,-0.000019,-0.000108,-0.000027,-0.000012,-0.000009,-0.000004,0,0,-0.008252
GRC,0.002216,0.001722,0.001213,0.001131,0.001692,0.001393,0.001306,-0.180665,0.0049,0.001248,0.001706,0.032824,0.001733,0.007411,0.002188,0.001659,-0.000448,0.001517,0.005736,0.066491,0.004934,0.086143,0.007151,0.002421,0.000976,-0.000006,-0.000006,0.002842,0.004117,0.003319,0.002017,0.003994,0.00251,0.003176,-0.000002,-0.000002,0.000012,0.002174,0.001733,0.00191,0.001642,0.001033,0.000009,0.00028,0.000098,0.000437,0.000396,0.000314,0.001231,0.001021,-0.000003,0.000392,0.000532,-0.000003,-0.000002,0.000073,0,0,0.001399
ITA,-0.031436,-0.096935,0.004065,0.006357,0.005536,-0.024449,0.005232,0.08375,-0.866303,-0.002023,0.005132,0.038162,0.006117,0.039708,0.019458,0.006364,0.079074,0.008295,0.02627,0.04499,0.053445,0.058415,0.013516,0.005867,0.001669,-0.000007,-0.000014,0.010912,0.015241,0.01015,0.007286,0.011738,0.00783,0.009776,-0.000009,-0.000008,0.00002,0.007329,0.005827,0.005625,0.005093,0.002752,0.000019,0.000798,0.000273,0.001193,0.001162,0.000876,0.004405,0.003539,-0.000012,0.001178,0.001746,-0.00001,-0.000008,0.00025,0,0,0.001029
RFA,-0.206136,-0.377018,-0.293347,-0.009817,-0.030218,-0.097127,-0.036463,0.015872,-0.005256,-1.293642,-0.137036,0.012163,-0.03709,-0.000755,-0.043638,-0.124246,-0.012921,-0.245281,-0.011093,0.014535,0.00365,0.018022,0.005742,0.001217,0.000544,-0.000005,-0.000008,0.004054,0.008789,-0.009293,-0.001807,-0.019071,-0.001145,-0.000388,-0.000003,-0.000003,-0.000011,-0.00129,0.001332,0.000572,0.001709,0.000687,-0.000014,0.000188,-0.000036,-0.000038,0.000146,0.00024,-0.000189,0.000246,-0.000001,0.000187,0.000564,-0.000004,-0.000004,0.000105,0,0,-0.082859
