COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
CHE	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
BLX	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
ESP	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
FIN	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
FRA	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
GBR	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
GRC	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
ITA	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
RFA	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
SWE	1.463	1.805	1.688	1.703	0	1.84	0	1.616	1.675	1.524	0	1.538	0	1.349	1.452	1.357	1.37	1.409	1.298	1.773	1.566	2.186	1.734	0.03107	0.1429	0.8955	0.09847	0.8591	1.464	0.9443	0.4243	1.038	2.013	1.323	0.03246	0	0.02689	1.525	0.9964	1.398	0.5246	0.08441	0.03388	0.01676	0.064	0.14	0.2779	0.02451	0.5975	0.6341	0.04098	0.1304	0.1168	0.002443	0.00333	0.112	0	0	0.6297	0
