COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	0.0101	0.008659	0	0.003447	0	0.001733	0	0.0223	0.08244	0.002066	0	0.01011	0	0.01391	0.0418	0	0.0615	0.01895	0.009571	0.006842	0.0197	0.01623	0.004107	0	0.000002349	0.00000004	0.000000187	0.001713	0.00291	0.003978	0.0001435	0.004436	0.0005243	0.0015	3.318E-07	3.23E-08	0	0.0006995	0.000343	0.0003507	0.000584	0.00008707	0	2.997E-07	0	0	0.000007292	0.000003931	0.0002808	0.0002589	-1.77E-08	0.00004851	0.000003883	-3.171E-09	-3.991E-09	-6.613E-08	0	0	0.004199	0
CHE	0.009182	0.007699	0	0.001649	0	0.0114	0	0.003897	0.04268	0.007631	0	0.00156	0	0.002215	0.003009	0	0.003799	0.00325	0.001417	0.002407	0.005746	0.002121	0.001623	0	0.000002314	0.000001211	4.245E-07	0.0007434	0.001274	0.001476	0.00006291	0.0008897	0.0002543	0.0007877	-9.228E-08	-1.146E-08	0	0.0003518	0.0001557	0.0002041	0.0002618	0.00004293	0	1.072E-07	0	0	0.000003204	0.000002463	0.0001382	0.0001196	-2.364E-07	0.00002581	0.000002095	-6.296E-09	-2.47E-09	1.62E-08	0	0	0.0009556	0
BLX	0.009126	0.01597	0	0.004866	0	0.01394	0	0.01024	0.01677	0.01324	0	0.006104	0	0.005195	0.007488	0	0.009836	0.00591	0.00464	0.005119	0.009054	0.009611	0.003522	0	0.000003489	0.000006997	0.000001672	0.002133	0.003274	0.004385	0.0001723	0.004076	0.0007399	0.001446	1.143E-07	8.871E-08	0	0.0006219	0.0003154	-0.0002685	0.0005267	0.00006015	0	-0.000003376	0	0	-0.00005054	-0.000004494	0.0005931	0.0004356	1.949E-07	0.000009258	-0.00000688	-1.374E-08	5.93E-08	2.309E-07	0	0	0.001612	0
ESP	0.0241	0.0691	0	0.8243	0	0.1011	0	0.03536	0.095	0.04415	0	0.02222	0	0.01476	0.01764	0	0.0222	0.01927	0.01265	0.02031	0.226	0.02434	0.01474	0	0.00006518	0.0000253	-0.000000642	0.006799	0.01508	0.009153	0.0005495	0.008399	0.002477	0.007879	0.000000869	9.32E-08	0	0.002914	0.001789	0.008499	0.003651	0.001017	0	0.00002581	0	0	0.0004617	0.0001437	0.001209	0.001175	-0.000000258	0.0008232	0.0001488	6.11E-09	4.81E-08	0.000003112	0	0	0.01131	0
FIN	0.004385	0.002419	0	0.002012	0	0.002682	0	0.01079	0.002874	0.002983	0	0.01079	0	0.007327	0.00472	0	0.005695	0.006833	0.007339	0.004953	0.001992	0.005244	0.005416	0	-0.00001103	-0.00001889	-0.000002095	0.008064	0.009962	0.01702	0.0005274	0.007103	0.002181	0.003934	-0.000000591	-1.602E-07	0	0.001964	0.0006691	-0.001107	0.0008624	0.000002557	0	-0.000006901	0	0	-0.0001238	-0.00001545	0.002403	0.001246	-5.848E-07	-0.00005713	-0.00002258	-2.755E-08	-4.737E-08	-0.000001168	0	0	0.003129	0
FRA	0.05889	0.3193	0	0.2091	0	0.4219	0	0.04098	0.2162	0.2185	0	0.02412	0	0.022	0.0328	0	0.04088	0.03789	0.01826	0.01733	0.1204	0.02357	0.01293	0	0.00001776	0.00000045	-0.000001421	0.007224	0.01295	0.0119	0.0005746	0.01377	0.002444	0.008163	0.000000132	5.57E-08	0	0.003342	0.001532	0.002757	0.002465	0.0004413	0	7.327E-07	0	0	0.00003909	0.00003129	0.001509	0.00126	-0.000000447	0.0002978	0.00002754	-1.241E-08	-2.543E-08	-0.000000278	0	0	0.01737	0
GBR	0.02513	0.04186	0	0.04404	0	0.04772	0	0.0212	0.04121	0.04032	0	0.01388	0	0.01119	0.01959	0	0.01655	0.02087	0.01229	0.008443	0.03471	0.01198	0.006136	0	-0.0000212	-0.000029	-0.000002762	0.005161	0.007646	0.01349	0.0003984	0.01055	0.001624	0.003702	-9.222E-07	-1.742E-07	0	0.001469	0.000602	-0.001247	0.0009599	0.0001036	0	-0.00001504	0	0	-0.0002296	-0.00002362	0.001707	0.00105	-0.000001285	-0.00004639	-0.00002712	-5.539E-08	-3.414E-07	-0.000003555	0	0	0.00505	0
GRC	0.0008757	0.002034	0	0.0004482	0	0.0002771	0	0.3181	0.001636	0.0004492	0	0.06036	0	0.01333	0.0004886	0	0.004376	0.00037	0.003718	0.0731	0.03145	0.1744	0.007307	0	0.00004177	0.00002176	0.000000845	0.001154	0.002493	0.002648	0.00009853	0.003335	0.0003895	0.002127	0.000000669	1.097E-07	0	0.000682	0.0003564	0.002232	0.0008203	0.000288	0	0.00001276	0	0	0.0001842	0.00004755	0.0001817	0.0001895	0.000000282	0.0001924	0.00004248	1.725E-08	1.964E-07	0.000002386	0	0	0.002818	0
ITA	0.09115	0.1567	0	0.01658	0	0.02116	0	0.09944	0.698	0.02806	0	0.04562	0	0.03776	0.03237	0	0.09983	0.03194	0.02471	0.02998	0.1948	0.07803	0.01656	0	0.00007479	0.00003281	0.00000057	0.006444	0.0133	0.008522	0.0006041	0.01435	0.002177	0.008748	6.979E-07	1.128E-07	0	0.003598	0.001704	0.006032	0.003541	0.0008528	0	0.00003159	0	0	0.0004558	0.0001248	0.001213	0.001216	-2.943E-07	0.0005563	0.00009807	4.636E-08	0.000000112	0.000001868	0	0	0.03523	0
RFA	0.1212	0.06089	0	0.01087	0	0.04537	0	0.05621	0.1183	0.02058	0	0.03493	0	0.03463	0.06026	0	0.0657	0.06392	0.031	0.02376	0.03294	0.04553	0.01401	0	0.00001274	0.000008973	-0.000001645	0.009107	0.01378	0.01654	0.00069	0.0226	0.002673	0.005894	7.019E-08	1.003E-07	0	0.00264	0.001371	-0.00009093	0.0022	0.0002484	0	-0.000006381	0	0	-0.00008612	-0.000006077	0.001974	0.001531	-1.235E-07	0.0001215	-0.00001119	-4.029E-09	2.976E-08	1.093E-07	0	0	0.007653	0
