COUNTRY,AREA_M2,POP,SO4,NO3,NH4,BC,POM,O3,DUST,SS,M6M,M3M
AUT,1.05E+11,10039536,1.919,1.853,1.214,0.898,2.79,30.702,0.438542,0.603514,57.7,61
CHE,41190000000,7165581,1.359,2.687,1.289,0.649,2.496,32.403,0.491922,0.787839,58.5,60.1
BLX,84600000000,26598503,1.442,4.116,1.718,1.532,1.865,25.22,0.150674,1.20865,48.7,52.2
ESP,8.16E+11,51028342,2.275,1.009,1.075,0.684,1.616,36.391,1.18412,1.55322,58.7,62.1
FIN,3.84E+11,5176482,0.584,0.496,0.348,0.24,1.424,26.696,0.14312,1.07378,41.8,44.8
FRA,6.28E+11,59387183,1.42,2.831,1.35,1.077,2.227,30.756,0.319183,1.38337,53.9,56.9
GBR,5.28E+11,62708578,1.206,2.436,1.151,0.93,1.161,26.771,0.0732509,1.29555,44.9,46.3
GRC,3.81E+11,11897319,4.063,0.931,1.736,0.368,1.472,41.293,1.76659,1.38049,64.4,70.8
ITA,5.04E+11,57534261,2.813,4.101,2.216,1.06,2.12,36.59,1.05796,1.48993,70.1,76.2
RFA,3.82E+11,81895925,1.581,3.805,1.698,1.095,1.941,25.89,0.263098,1.19066,52,55.2
SWE,6.26E+11,14210567,0.81,1.4,0.705,0.361,1.223,31.329,0.0581962,1.10879,45.3,47.9
TUR,8.82E+11,63240157,3.008,1.102,1.394,0.278,1.566,40.367,2.19533,0.808642,62.8,66.9
NOR,7.42E+11,4772786,0.614,0.359,0.317,0.23,0.914,31.541,0.0310544,1.57658,44.2,46.1
BGR,1.20E+11,8000510,4.907,2.022,2.346,0.628,3.298,32.011,1.1227,0.6971,58.4,63.7
HUN,92810000000,10224113,3.204,2.237,1.822,0.987,3.521,27.704,0.385199,0.536626,55.9,61.3
POL,5.43E+11,45743304,2.042,1.581,1.189,0.896,2.833,29.012,0.240966,0.863504,50.9,55
RCEU,3.15E+11,23431826,3.941,1.507,1.852,0.55,2.745,34.044,1.0682,0.719516,60.7,64.9
RCZ,1.28E+11,15649075,2.649,2.691,1.744,1.211,3.726,27.18,0.3078,0.615182,53.8,58.5
