COUNTRY,AUT,CHE,BLX,ESP,FIN,FRA,GBR,GRC,ITA,RFA,SWE,TUR,NOR,BGR,HUN,POL,RCEU,RCZ,ROM,MEME,NOA,EGY,GOLF,WAF,EAF,SAF,RSA,KAZ,RIS,RUS,RUE,UKR,COR,JPN,AUS,NZL,PAC,MON,CHN,TWN,RSAS,NDE,IDN,THA,MYS,PHL,VNM,RSEA,CAN,USA,BRA,MEX,RCAM,CHL,ARG,RSAM,Ship,Air,Ocean,EUR
AUT,0.10634,0.012348,0.000563,0.000192,0.000081,0.000556,0.000126,0.000609,0.005465,0.00497,0.000247,0.000228,0.000027,0.000984,0.010203,0.002022,0.006217,0.013343,0.000743,0.00019,0.000289,0.00027,0.000057,0.000029,0.00001,0,0,0.000026,0.000028,0.000081,0.000014,0.000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002458,0
CHE,0.000618,0.023798,0.000195,0.000034,0.000003,0.001827,0.000018,0.000031,0.002566,0.000889,0.000022,0.000009,0.000003,0.000028,0.000078,0.000064,0.000063,0.000148,0.00002,0.000011,0.000044,0.000012,0.000006,0.000002,0.000001,0,0,0.000003,0.000004,0.000013,0.000002,-0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000352,0
BLX,0.001327,0.001688,0.211272,0.000397,0.000251,0.019894,0.006819,0.00028,0.000641,0.017649,0.001877,0.000145,0.000438,0.000394,0.000898,0.00127,0.000609,0.001693,0.000422,0.000107,0.000204,0.000146,0.000043,0.000019,0.000007,0,0,0.000033,0.00003,0.000143,0.000018,0.000225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008322,0
ESP,0.000683,0.001038,0.000632,0.138314,0.000037,0.003807,0.000464,0.000899,0.002553,0.000637,0.000126,0.000392,0.000033,0.000542,0.000593,0.000297,0.000971,0.000439,0.000396,0.000539,0.009576,0.000823,0.000238,0.000311,0.000061,0,0,0.000058,0.000109,0.000069,0.000023,0.000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000373,0
FIN,0.000056,0.000016,0.000053,0.000002,0.030742,0.000016,0.000053,0.000048,0.000024,0.000087,0.000686,0.000041,0.000224,0.00008,0.000119,0.000694,0.000069,0.000117,0.000116,0.000038,0.000007,0.000053,0.00001,0.000001,0.000001,0,0,0.000043,0.000019,0.000475,0.000043,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000047,0
FRA,0.002817,0.032616,0.025886,0.007517,0.000201,0.162934,0.005906,0.001076,0.005644,0.011145,0.001198,0.000451,0.000313,0.000853,0.001626,0.001554,0.001491,0.002603,0.00072,0.000436,0.003018,0.000614,0.000166,0.000128,0.000033,0,0,0.000067,0.000093,0.00014,0.00003,0.000504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004471,0
GBR,0.000843,0.001386,0.012886,0.00092,0.000555,0.006874,0.169122,0.0003,0.000638,0.003686,0.002829,0.000175,0.001392,0.000376,0.000681,0.001205,0.000466,0.001185,0.000439,0.000157,0.000533,0.000228,0.000049,0.000034,0.000009,0,0,0.00003,0.000031,0.000089,0.000015,0.000553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000617,0
GRC,0.000037,0.000008,0.000002,0.000007,0.000003,0.000004,0.000001,0.037336,0.000153,0.000005,0.000003,0.001764,0.000001,0.004013,0.000087,0.000015,0.001751,0.000026,0.0006,0.002446,0.000138,0.00258,0.000169,0.000098,0.00004,0,0,0.000011,0.000025,0.000031,0.000004,0.000169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132,0
ITA,0.008283,0.017852,0.000415,0.000828,0.000043,0.004306,0.000065,0.002469,0.183987,0.001361,0.000048,0.000723,0.000013,0.001443,0.003116,0.000689,0.005022,0.001586,0.001101,0.000945,0.002479,0.001522,0.000246,0.000224,0.00006,0,0,0.000049,0.000092,0.000038,0.000021,0.000492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000943,0
RFA,0.020246,0.047915,0.057994,0.000662,0.000831,0.015856,0.003875,0.001193,0.004193,0.173939,0.007496,0.000584,0.000834,0.001793,0.005416,0.009436,0.00319,0.024072,0.001887,0.000441,0.000458,0.000608,0.000143,0.00007,0.000025,0,0,0.00009,0.00009,0.000365,0.000047,0.001451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01385,0
