COUNTRY	AUT	CHE	BLX	ESP	FIN	FRA	GBR	GRC	ITA	RFA	SWE	TUR	NOR	BGR	HUN	POL	RCEU	RCZ	ROM	MEME	NOA	EGY	GOLF	WAF	EAF	SAF	RSA	KAZ	RIS	RUS	RUE	UKR	COR	JPN	AUS	NZL	PAC	MON	CHN	TWN	RSAS	NDE	IDN	THA	MYS	PHL	VNM	RSEA	CAN	USA	BRA	MEX	RCAM	CHL	ARG	RSAM	Ship	Air	Ocean	EUR
AUT	-0.007037	-0.002891	-0.000779	0.000009	-0.000057	-0.000424	-0.000227	-0.000095	-0.002454	-0.002446	-0.000226	-0.000022	-0.000022	-0.000706	-0.002779	-0.001582	-0.001275	-0.007141	-0.001244	0.000107	0.000069	0.000144	0.000047	-0.000021	0.000005	0	0	0	0	-0.000037	-0.000001	-0.000304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000478	0
CHE	-0.001047	-0.007631	-0.000612	-0.000054	0.000036	-0.000766	-0.00003	-0.000065	-0.003654	-0.002418	-0.000311	-0.000009	-0.000015	0.00006	-0.000288	-0.000131	0.000035	-0.001518	-0.000235	0.000006	-0.00003	0.000016	0.000015	0.000008	0.000003	0	0	0.000001	0.000002	-0.00001	0.000002	-0.000022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000286	0
BLX	-0.002583	-0.002671	-0.024782	-0.001143	-0.000425	-0.007303	-0.003921	-0.000273	-0.001351	-0.009753	-0.001662	-0.000167	-0.000602	0.000457	-0.002081	-0.002376	-0.00155	-0.003006	-0.001919	-0.000031	-0.000422	-0.000032	0.00001	-0.000009	0.000001	0	0	-0.000032	-0.000019	-0.000157	0.000015	-0.000617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.002007	0
ESP	-0.000196	-0.000712	-0.000577	-0.024314	-0.00002	-0.002571	-0.000326	-0.000225	-0.001116	-0.000469	-0.000157	0.000318	0.000004	0.000317	-0.000223	-0.000108	-0.002426	-0.000316	0.000176	0.000766	0.000826	0.001051	0.000348	0.000057	0.000057	0	0	0.000049	0.000074	0.000071	0.000025	0.000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000073	0
FIN	-0.000983	-0.000234	-0.000822	-0.000141	-0.004291	-0.000119	-0.000447	-0.000562	-0.000362	0.000377	-0.001005	-0.000199	-0.000449	-0.000496	-0.001629	-0.001058	-0.000925	-0.000449	-0.000674	-0.000017	-0.000005	-0.000003	-0.000022	-0.000017	-0.000005	0	0	-0.000119	-0.000021	-0.000542	-0.000136	-0.000821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000152	0
FRA	-0.002708	-0.008462	-0.009112	-0.00361	-0.000134	-0.016399	-0.002266	-0.000035	-0.004171	-0.007544	-0.001093	0.000088	-0.000295	0.000881	-0.0019	-0.001652	-0.001316	-0.00327	-0.001312	0.000511	-0.000577	0.000604	0.000197	-0.000031	0.000019	0	0	0.000031	0.000038	-0.000044	0.000019	-0.000341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.001439	0
GBR	-0.00267	-0.005341	-0.016793	-0.003441	-0.001473	-0.011502	-0.036911	-0.000354	-0.001649	-0.008521	-0.00645	-0.000266	-0.00373	0.000088	-0.002572	-0.003876	-0.001701	-0.003365	-0.001621	-0.000052	-0.001301	-0.000107	0.000016	-0.000062	-0.000008	0	0	-0.000106	-0.000015	-0.000292	-0.000104	-0.001188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.001355	0
GRC	0.000262	0.000209	-0.000482	0.000048	0.000003	-0.000011	-0.000203	0.005053	0.000222	0.00012	-0.000007	0.001771	0	-0.003658	-0.00048	0.00009	-0.001031	0.000111	-0.0017	0.005104	0.000422	0.006965	0.00042	0.000233	0.000094	0	0	0.000019	0.000035	0.000022	-0.000001	-0.000156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000002	0
ITA	-0.009577	-0.016412	-0.000798	-0.000699	-0.000031	-0.002795	-0.000105	0.001038	-0.053291	-0.001219	0.000215	0.000658	-0.000006	-0.001989	-0.004	-0.000986	-0.00277	-0.00106	-0.000905	0.001758	0.002439	0.002673	0.000499	0.000277	0.000096	0	0	0.000052	0.000058	0.000093	0.000024	-0.000459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000824	0
RFA	-0.017627	-0.021934	-0.030693	-0.001724	-0.001675	-0.013781	-0.005382	-0.001755	-0.007654	-0.055093	-0.007188	-0.000904	-0.001582	-0.008642	-0.013225	-0.014024	-0.008673	-0.029266	-0.007207	-0.000143	-0.000499	-0.000167	0.000065	-0.000064	0.000001	0	0	-0.000064	-0.000021	-0.000558	-0.000051	-0.003386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.006355	0
