"region","year","unit","AOT_MAIZE","AOT_RICE","AOT_SOY","AOT_WHEAT"
"ARG","2100","%",0.000521930441485591,0.000978199342904334,0.00156720279167513,0.0118038862332593
"AUS","2100","%",0.000472695629337395,0.000153062006466261,0.001212560735152,0.000581059980109323
"AUT","2100","%",0.0207035764209839,0,0.0644158824215659,0.0884376024310329
"BGR","2100","%",0.0207029808743084,0.0244923347109296,0.0652559483713963,0.0792094716106676
"BLX","2100","%",0.0205940832417394,0,0,0.0807137933169923
"BRA","2100","%",0.00258376077840117,0.0117893598429641,0.0092311009547581,0.0274258526160256
"CAN","2100","%",0.0353067782003181,0.101982668709605,0.156038344331664,0.0419380039836439
"CHE","2100","%",0.0272178172981978,0.0554757117541476,0.104018745699835,0.123036303353541
"CHL","2100","%",0.00209111103968848,0.00209117776062684,0.00887329380977933,0.00257974824382103
"CHN","2100","%",0.0196607508972898,0.00906021421090852,0.0672785198077976,0.0911334736296767
"COR","2100","%",0.0300020534106097,0.0298748460743726,0.0917480796591251,0.128844709383869
"EAF","2100","%",0.0181175416986476,0.0178085505737122,0.155214470993073,0.182263952064335
"EGY","2100","%",0.0727758098033443,0.063594235761905,0.191585571301914,0.166579045567162
"ESP","2100","%",0.0404032741900649,0.0441170119926047,0.136838534944017,0.129897012348631
"FIN","2100","%",0,0,0,0.0243385762204908
"FRA","2100","%",0.02432184749281,0.0324274829228231,0.0757974223769049,0.093010905844488
"GBR","2100","%",0,0,0,0.0779441775556607
"GOLF","2100","%",0.0500096246860479,0.0592411585995946,0.182792583187721,0.164073176997119
"GRC","2100","%",0.0418361588133428,0.0623224507148343,0.146871265481391,0.128512022586417
"HUN","2100","%",0.0181397910646637,0.0202846085828673,0.0575604156839517,0.0652562285441797
"IDN","2100","%",0.00284645838609282,0.00356788600748268,0,0
"ITA","2100","%",0.0559401688456966,0.0573259810150052,0.192424670928222,0.193709001316516
"JPN","2100","%",0.0258757740040036,0.0280480521255286,0.100628552784676,0.117866518430732
"KAZ","2100","%",0.00958809236165918,0.00942334365361908,0.0495539905337504,0.0513293624876105
"MEME","2100","%",0.0486805106225615,0,0.162742649868087,0.119681441116591
"MEX","2100","%",0.0124133367948234,0.0338542089921652,0.072854238264874,0.200249889313368
"MON","2100","%",0.0292852508412892,0.0188187507023166,0.0913366871033813,0.135393966841568
"MYS","2100","%",0.0107234622436168,0.00713277307948046,0.000105235310570958,0.000110577824407538
"NDE","2100","%",0.0255878669480279,0.0203615126982914,0.114860874775927,0.292250971618082
"NOA","2100","%",0.0361774945346003,0.0333641263430054,0.22627987021898,0.11142476575532
"NOR","2100","%",0,0,0,0.0401203898158877
"NZL","2100","%",3.51760779607313e-05,0,0.000120717189939524,5.311819962982e-05
"PAC","2100","%",0.000863289212707611,0.00127278922284373,1.65766088809279e-06,8.48992382345476e-07
"PHL","2100","%",0.00413662743082303,0.00259872145673793,0,0
"POL","2100","%",0.0168675821474061,0,0,0.0620170170808766
"RCAM","2100","%",0.0033887499244108,0.00618036093458734,0.00993417808009352,0.0370148445600195
"RCEU","2100","%",0.0186072285820024,0.0287044439297498,0.0626481443815052,0.0830360037560208
"RCZ","2100","%",0.0178122542093952,0.019200237621943,0.0569668865248938,0.0751810795474886
"RFA","2100","%",0.0200950357760291,0,0.0814407975241517,0.0813826299989081
"RIS","2100","%",0.023812206985955,0.0239604098019431,0.103179245135481,0.124926154100776
"ROM","2100","%",0.0167082011693986,0.0200307085888482,0.0526444138038801,0.0635307160636557
"RSA","2100","%",0.00707633233714784,0.00196453145914611,0.0231536394389204,0.0718917566942019
"RSAM","2100","%",0.0118223771076654,0.00219706199940714,0.0111538623933051,0.0383721182406139
"RSAS","2100","%",0.042229763989365,0.0388632555015287,0.137168497599744,0.226462116577717
"RSEA","2100","%",0.0033025198523125,0.00914425929168851,0.0264394901966058,0.101582669683987
"RUE","2100","%",0.00406021312369874,0.00676427800488931,0.0129566146528188,0.0181696098688797
"RUS","2100","%",0.0133120083491765,0.0259306497559498,0.0708641268467802,0.0305379517261221
"SAF","2100","%",0.0592329501341857,0.0246375862020229,0.205705213439302,0.283941524624848
"SWE","2100","%",0,0,0,0.0590136061498786
"THA","2100","%",0.00147413159393145,0.00331029416551959,0.0106100338166591,0.0954989968366457
"TUR","2100","%",0.0453145089815676,0.0497598698051001,0.160235214665461,0.161082100334329
"TWN","2100","%",0.0532201882015153,0.0623709251362076,0.165794798970993,0.229730679112388
"UKR","2100","%",0.0141199211825028,0.0292529380418014,0.0437707002704185,0.0497535459247899
"USA","2100","%",0.0283553638334216,0.0434498650151136,0.0966946018017765,0.105235069307966
"VNM","2100","%",0.0112666041352527,0.0065952023266845,0.0479699467203923,0.105762494798224
"WAF","2100","%",0.0065003620989502,0.0247558829093365,0,0.0387712537512577
