"scenario","region","crop","year","prod_loss_aot40","prod_loss_mi","unit"
"Reference_gcam5p3_release","Africa_Eastern","Corn",2100,0.954310373219918,1.68076388577112,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","FiberCrop",2100,0.0706717665067657,0.0352736860436172,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","FodderGrass",2100,0.0753917291911471,0.132782477552631,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","FodderHerb",2100,0.0278087061466219,0.0159307592032272,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","MiscCrop",2100,11.2520749871603,6.44597041703365,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","OilCrop",2100,1.14528282769339,1.79241139217175,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","OtherGrain",2100,2.12891614720923,1.60625951613077,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","PalmFruit",2100,0.0686799474248175,0.107486742314935,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","Rice",2100,0.178641163183127,0.0892554098237764,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","RootTuber",2100,4.23025345223634,3.19171089580348,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","SugarCrop",2100,2.88718460147442,2.17837031628693,"Mt"
"Reference_gcam5p3_release","Africa_Eastern","Wheat",2100,1.32431335383673,0.660938013867573,"Mt"
"Reference_gcam5p3_release","Africa_Northern","Corn",2100,0.928067578872551,1.57519949442922,"Mt"
"Reference_gcam5p3_release","Africa_Northern","FiberCrop",2100,0.0716994260907549,0.0390254520275036,"Mt"
"Reference_gcam5p3_release","Africa_Northern","FodderGrass",2100,0.839710274571704,1.42523155649855,"Mt"
"Reference_gcam5p3_release","Africa_Northern","FodderHerb",2100,6.99035820960312,3.81915384766739,"Mt"
"Reference_gcam5p3_release","Africa_Northern","MiscCrop",2100,10.0848010541484,5.50979014151231,"Mt"
"Reference_gcam5p3_release","Africa_Northern","OilCrop",2100,1.42231684193206,2.00377978328379,"Mt"
"Reference_gcam5p3_release","Africa_Northern","OtherGrain",2100,0.871474304553652,0.551997137213576,"Mt"
"Reference_gcam5p3_release","Africa_Northern","Rice",2100,0.543731823578237,0.330373390337899,"Mt"
"Reference_gcam5p3_release","Africa_Northern","RootTuber",2100,1.92576131303441,1.21978895556318,"Mt"
"Reference_gcam5p3_release","Africa_Northern","SugarCrop",2100,4.59083769187184,2.90786458084195,"Mt"
"Reference_gcam5p3_release","Africa_Northern","Wheat",2100,3.8857603324628,2.10323469003184,"Mt"
"Reference_gcam5p3_release","Africa_Southern","Corn",2100,2.58977027868247,4.38398880093287,"Mt"
"Reference_gcam5p3_release","Africa_Southern","FiberCrop",2100,0.0527082339163861,0.0238682630976402,"Mt"
"Reference_gcam5p3_release","Africa_Southern","MiscCrop",2100,3.5405960956888,2.60993193001878,"Mt"
"Reference_gcam5p3_release","Africa_Southern","OilCrop",2100,2.03463314357346,2.70977465328797,"Mt"
"Reference_gcam5p3_release","Africa_Southern","OtherGrain",2100,0.181247136586395,0.281280988288617,"Mt"
"Reference_gcam5p3_release","Africa_Southern","PalmFruit",2100,0.565129429028894,0.752653325955374,"Mt"
"Reference_gcam5p3_release","Africa_Southern","Rice",2100,0.129639100099448,0.0577437996347902,"Mt"
"Reference_gcam5p3_release","Africa_Southern","RootTuber",2100,4.76920686468539,7.40142573017761,"Mt"
"Reference_gcam5p3_release","Africa_Southern","SugarCrop",2100,2.46150416581748,3.82005662256437,"Mt"
"Reference_gcam5p3_release","Africa_Southern","Wheat",2100,0.14569352782475,0.066627210052493,"Mt"
"Reference_gcam5p3_release","Africa_Western","Corn",2100,0.524153671435454,1.86190627565972,"Mt"
"Reference_gcam5p3_release","Africa_Western","FiberCrop",2100,0.147712179580332,0.107104293338018,"Mt"
"Reference_gcam5p3_release","Africa_Western","MiscCrop",2100,4.79018523140618,3.61064332269107,"Mt"
"Reference_gcam5p3_release","Africa_Western","OilCrop",2100,0.275182846644278,0.430671671074337,"Mt"
"Reference_gcam5p3_release","Africa_Western","OtherGrain",2100,0.921864147554839,1.65635719424645,"Mt"
"Reference_gcam5p3_release","Africa_Western","PalmFruit",2100,0.424927405007117,0.665027627380648,"Mt"
"Reference_gcam5p3_release","Africa_Western","Rice",2100,0.778094752421333,0.563579859689242,"Mt"
"Reference_gcam5p3_release","Africa_Western","RootTuber",2100,7.69305677671712,13.8224812969026,"Mt"
"Reference_gcam5p3_release","Africa_Western","SugarCrop",2100,0.346742020793517,0.62300789352992,"Mt"
"Reference_gcam5p3_release","Africa_Western","Wheat",2100,0.0142877478227986,0.0106773663578037,"Mt"
"Reference_gcam5p3_release","Argentina","Corn",2100,0.0253354878298522,0.308106546819683,"Mt"
"Reference_gcam5p3_release","Argentina","FiberCrop",2100,0.0106918164297543,0.0126762976502747,"Mt"
"Reference_gcam5p3_release","Argentina","FodderGrass",2100,0.0356989114379226,0.434136828239798,"Mt"
"Reference_gcam5p3_release","Argentina","FodderHerb",2100,0.391119870653565,2.97606904681052,"Mt"
"Reference_gcam5p3_release","Argentina","MiscCrop",2100,0.0515873888335114,0.392533447243796,"Mt"
"Reference_gcam5p3_release","Argentina","OilCrop",2100,0.1345060460091,2.72146750806466,"Mt"
"Reference_gcam5p3_release","Argentina","OtherGrain",2100,0.0615323618364406,0.094971773182735,"Mt"
"Reference_gcam5p3_release","Argentina","Rice",2100,0.00233632112975122,0.00539554235565678,"Mt"
"Reference_gcam5p3_release","Argentina","RootTuber",2100,0.0213244956903218,0.0329131713377217,"Mt"
"Reference_gcam5p3_release","Argentina","SugarCrop",2100,0.158773023550663,0.245057318298167,"Mt"
"Reference_gcam5p3_release","Argentina","Wheat",2100,0.183141055541949,0.216347584965071,"Mt"
"Reference_gcam5p3_release","Australia_NZ","Corn",2100,0.000759481159417136,0.0187486670062283,"Mt"
"Reference_gcam5p3_release","Australia_NZ","FiberCrop",2100,0.00110497957083075,0.00394640906795185,"Mt"
"Reference_gcam5p3_release","Australia_NZ","FodderGrass",2100,0.00450974610110522,0.111328275736488,"Mt"
